youtubeId,title,channelName,thumbnailUrl,description,videoUrl
9WwxsVN3ipA,"CIA Spy: How To Get Anything You Want From Anyone","Brett Malinowski",https://i.ytimg.com/vi/9WwxsVN3ipA/hqdefault.jpg,"#CIA #spy #psychology 
Sponsors: 
Shopify - Sign up for a $1 per month trial period at https://www.shopify.com/wgmi
Netsuite - Visit https://netsuite.com/WGMI to sign up for their one-of-a-kind flexible financing offer.

Want to learn more from Andy?
Find your Spy Superpower:https://yt.everydayspy.com/WGMIPodcast  
Follow Andy on YouTube: https://youtube.com/@Andrew-Bustamante
Explore Spy School: https://everydayspy.com/
Join the podcast: https://youtube.com/@EverydaySpyPodcast",https://www.youtube.com/watch?v=9WwxsVN3ipA
jHQDCple6DI,"Growth Expert: Build a Profitable SaaS from Scratch Everytime","Brett Malinowski",https://i.ytimg.com/vi/jHQDCple6DI/hqdefault.jpg,"Cameron Zoub is the Co-founder and CGO of Whop. Whop is a social commerce platform designed for creators, entrepreneurs, and small businesses to build, market, and sell products online.

Build apps with Whop - https://docs.whop.com/apps/introduction/?a=thebrettway
Launch your business on Whop today - https://whop.com/sell/?a=thebrettway

Guest: Cameron Zoub
Twitter - https://x.com/czoob3
Instagram - https://www.instagram.com/camzoub/?hl=en

Timestamps
0:00 finding an Idea 
2:30 Finding a partner
4:58 Building your MVP
7:10 Getting your first users
19:55 Early sales systems 
23:26 When to raise money and why
29:11 Scaling to $100M in revenue 
37:44 Habits, routine and health 
44:58 Mentality of moving fast 
47:38 What drives you to go through pain 
57:59 Intuition and spirituality in business",https://www.youtube.com/watch?v=jHQDCple6DI
uVU3tU1UhSo,"How to Make $150,000/Month Renting Super Cars","Brett Malinowski",https://i.ytimg.com/vi/uVU3tU1UhSo/hqdefault.jpg,"#exotic #luxurycars #supercars 
Visit https://netsuite.com/WGMI to sign up for their one-of-a-kind flexible financing offer.
Sponsor

Guest: Jayden Bloom - https://www.instagram.com/jcanonbloom/",https://www.youtube.com/watch?v=uVU3tU1UhSo
5sBQuCb5-T8,"The 23-Year-Old Making Normal People Rich","Brett Malinowski",https://i.ytimg.com/vi/5sBQuCb5-T8/hqdefault.jpg,"#creator #ugc #tiktokshop 
Sponsors: Shopify - Sign up for a $1 per month trial period at https://shopify.com/wgmi
NetSuite - Download the CFO's guide to AI and Machine Learning for FREE at https://netsuite.com/WGMI

Guest: Jimmy Farley 
Twitter - https://x.com/JimmyFarley00
YouTube - https://www.youtube.com/@jimmyfarley00
Instagram - https://www.instagram.com/jimpapi

Timestamps:
0:00 - Intro
2:53 - Jimmy's Story
21:50 - Creators Corner
1:00:00 - TikTok Shop \u0026 God
1:12:00 - Back to Creators Corner and Results
1:20:00 - Acts of Kindness
1:29:00 - Final Thoughts",https://www.youtube.com/watch?v=5sBQuCb5-T8
xlYvxKWPS9k,"Easiest Way to Make $100k/Month In Real Estate as a Beginner","Brett Malinowski",https://i.ytimg.com/vi/xlYvxKWPS9k/hqdefault.jpg,"#airbnb #airbnbarbitrage #business 
Sign up for a $1 per month trial period at - https://www.shopify.com/wgmi

Share this episode with a friend you would do Airbnb Arbitrage with - https://youtu.be/xlYvxKWPS9k

Guest - Colin Wright:
Instagram - https://www.instagram.com/agentwright/

Timestamps:
0:00 Intro to the Business Model
3:23 Price Ranges and Locations
6:22 Talking to Landlords
10:04 How Many Units, Furniture and Free Rent
15:00 Airbnb Listing Hacks
20:16 How Much $ To Start
24:30 Cleaning Team
29:20 Sponsor 
30:26 VA's, Handymen and Managers
34:29 Software Tools
40:30 How to Get Good Reviews
41:03 How Much Time Does it Take and Profit Margin
44:30 Prospecting Process",https://www.youtube.com/watch?v=xlYvxKWPS9k
U48dckKCK4g,"The 21-year-old who built a $500k/month Ai SaaS in 2 Months | Roy Lee","Brett Malinowski",https://i.ytimg.com/vi/U48dckKCK4g/hqdefault.jpg,"#saas #ai #app 
Learn how to run short-form UGC campaigns for your app (Free) - https://growth-hacks.io/ugc
Join the Growth Hacker community - http://www.growth-hacks.io

Guest: Roy Lee 
Twitter - https://x.com/im_roy_lee
Cluely - https://cluely.com/

Host: Brett Malinowski 
Twitter - https://x.com/thebrettway
Instagram - https://www.instagram.com/thebrettway.eth/?hl=en",https://www.youtube.com/watch?v=U48dckKCK4g
HFrHMHXrYaI,"His Ai App Builder Went From $0 to $43M in 5 Months | Lovable","Brett Malinowski",https://i.ytimg.com/vi/HFrHMHXrYaI/hqdefault.jpg,"#ai #saas #app 
Sponsors: Shopify - Sign up for a $1 per month trial period at https://shopify.com/wgmi
Netsuite - Download the CFO's guide to AI and Machine Learning for FREE at https://netsuite.com/WGMI

Lovable:
Website - https://lovable.dev/

Anton Osika:
X - https://x.com/antonosika

Timestamps:
0:00 Lovable story
8:00 is Ai Creative? 
13:12 Brain chips
20:10 Team speciest or team human
28:10 Ad 1
42:06 How are different Ai's created
30:35 Are you getting brain chip v1
32:36 Anton's motives 
41:41 Ai enhancing consciousness and religion 
49:03 Ai opportunities to capitalize on today",https://www.youtube.com/watch?v=HFrHMHXrYaI
16revbI1pTg,"Make Millions-a-Month With The Killer Mentality | Amir Zandifar","Brett Malinowski",https://i.ytimg.com/vi/16revbI1pTg/hqdefault.jpg,"#entrepreneur #mindset #motivation 
Join my free newsletter to learn about businesses of the future - https://wgmimedia.com/join-WGMI/

Follow Amir - https://www.instagram.com/amir_zandifar/
Follow Brett - https://www.instagram.com/thebrettway.eth/

We're Gonna Make It Podcast Links: 
Spotify: https://open.spotify.com/show/0R8fi1U6go5WXA9EAYe7bF
Apple Podcast: https://podcasts.apple.com/us/podcast/were-gonna-make-it

For Ai News and Opportunities go to WGMI Media 
Website - https://wgmimedia.com/ 
Instagram - https://www.instagram.com/wgmimedia/ 

Timestamps:
0:00 - Intro
4:08 - Start Here

My Camera Setup:
Camera (x3) - https://amzn.to/3OJH5bl 
Lens (x3) - https://amzn.to/3OwRJSG 
Microphone (x2) - https://amzn.to/44dV1jz 
Audio Interface - https://amzn.to/43Zlxg8
Main Light (x2) - https://amzn.to/3KSsKZ1
Main Light Softbox (x2) - https://amzn.to/3DIEyJ8
Back Lights (x2) - https://amzn.to/44YxeFa 
Light Stands (x4) - https://amzn.to/3rSej08 
Camera SD Cards (x6) - https://amzn.to/3Qqh4zZ
Mic Stands (x2) - https://amzn.to/3OsiQhC",https://www.youtube.com/watch?v=16revbI1pTg
VHYTAVW5iaY,"From $0 to $1,000,000 in 3 Months Selling on TikTok Shop","Brett Malinowski",https://i.ytimg.com/vi/VHYTAVW5iaY/hqdefault.jpg,"#tiktok #tiktokshop #ecommerce 
Sponsors: 
Shopify - Sign up for a $1 per month trial period at https://shopify.com/wgmi 
Netsuite - Download the CFO's guide to AI and Machine Learning for FREE at https://netsuite.com/WGMI

Guest: Rob the Bank 
YouTube - https://www.youtube.com/@robthebankmotion
Instagram - instagram.com/robthebank
Twitter - twitter.com/thegeniusceo",https://www.youtube.com/watch?v=VHYTAVW5iaY
8nHhtdT6zOA,"Making $500,000 Per Month With This Cold Email Funnel","Brett Malinowski",https://i.ytimg.com/vi/8nHhtdT6zOA/hqdefault.jpg,"#marketing #business #software 
Sponsor: Zendrop - Get a 7-day free trial, 50% off and $200 to fulfill orders for free - http://zendrop.com/wgmi

Daniel Fazio: 
YouTube: https://www.youtube.com/@danielfazio 
Twitter: https://twitter.com/blackhatwizardd 
Client Ascension: https://clientascension.com
Listkit: https://listkit.io/?ref=WGMI",https://www.youtube.com/watch?v=8nHhtdT6zOA
