youtubeId,title,channelName,thumbnailUrl,description,videoUrl
6H_AgyPO2qA,"This was a hard year.","Colin and Samir",https://i.ytimg.com/vi/6H_AgyPO2qA/hqdefault.jpg,"Support Noah
https://www.palisadesbeautiful.org/

Listen to the show
Spotify: https://spoti.fi/2OnTmBC 
iTunes: https://apple.co/2K1pYhu 

Our newsletter that breaks down the business of creators
https://www.thepublishpress.com",https://www.youtube.com/watch?v=6H_AgyPO2qA
WclA5UTdVBE,"Casey Neistat: The Death of ""Art"" on YouTube","Colin and Samir",https://i.ytimg.com/vi/WclA5UTdVBE/hqdefault.jpg,"Download Premiere for iPhone: https://apps.apple.com/us/app/adobe-premiere-video-editor/id6742757464

Casey Neistat unfiltered on the state of modern YouTube from our event Press Publish NYC. 

00:00 Intro
02:16 The Price of YouTube Fame
04:20 The Problem with Modern YouTube
09:54 Thanks to Adobe
11:29 Art vs The Algorithm
15:47 How to Commercialize Art
18:33 How to get attention today
23:15 How Casey chooses stories
27:24 Casey Neistat's Greatest Vlog Ever
28:50 Why Casey Doesn't Work Well With Others
31:34 Hollywood vs YouTube
36:02 Casey Neistat's Message for Creators
37:20 Meeting Casey

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt

COLIN AND SAMIR’S NEWSLETTER
📫 165,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
http://colinandsamir.com/question

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=WclA5UTdVBE
hbZbPHjE8NE,"The Rise of Diary of a CEO","Colin and Samir",https://i.ytimg.com/vi/hbZbPHjE8NE/hqdefault.jpg,"Try out Copilot here: https://aka.ms/CopilotHome
Check out the Copilot Recap of all sessions here: https://aka.ms/CopilotRecaps

Watch The Diary of a CEO: @TheDiaryOfACEO 

Watch Steven Bartlett's Vlog, Behind the Diary: https://www.youtube.com/@DOACBehindTheDiary

Learn how to grow on YouTube
https://www.colinandsamir.com/creatorstartup-yt

00:00 Intro
01:31 What is a failure team?
07:45 Romantic vs Right
15:09 Steven Bartlett's Childhood
20:34 Turning down $100 Million Offer
24:00 What makes Steven Bartlett Happy?
26:00 How to make tough decisions
28:53 Steven Bartlett's Creator Principles
35:20 How his show grew 300%
39:00 Inside the Diary of a CEO Team
42:50 The Pre-Watch System
45:50 What would Steven Bartlett ask Steven Bartlett?

COLIN AND SAMIR’S NEWSLETTER
📫 160,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=hbZbPHjE8NE
5TmD4TlpZH4,"How These 1-Minute Movies Are Making Billions","Colin and Samir",https://i.ytimg.com/vi/5TmD4TlpZH4/hqdefault.jpg,"Check out Epidemic Sound: https://share.epidemicsound.com/colinandsamirSEP25
Use code COLINANDSAMIR for 50% your first two months 

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt

COLIN AND SAMIR’S NEWSLETTER
📫 125,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
❔ We answer questions from creators every Sunday in our newsletter. Submit yours here: https://bit.ly/publish-creator-support 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📡 Discord: https://discord.com/invite/colinandsamir
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=5TmD4TlpZH4
5TlPHtxsBIA,"Inside Michelle Khare's Most Dangerous Video","Colin and Samir",https://i.ytimg.com/vi/5TlPHtxsBIA/hqdefault.jpg,"YouTuber Michelle Khare and director Garrett Kennell join us to break down their most dangerous video yet: recreating Tom Cruise’s airplane stunt from Mission: Impossible. We get into how they pulled it off, the team behind the scenes, and what it’s like to build an independent media company from the ground up. Michelle also opens up about her failed Emmy campaign, the line between YouTube and Hollywood, and where creators fit into the future of entertainment.

Watch @MichelleKhare's video:
I Tried Tom Cruise's Deadliest Stunt
https://www.youtube.com/watch?v=IcDr8_oleB4

I Tried Houdini's Deadliest Trick
https://www.youtube.com/watch?v=0UdXsm9gJ-s

We Drove the World’s First Space Truck


Subscribe to Michelle's channel
https://www.youtube.com/@MichelleKhare

0:00 – Cold Open: The stunt, Emmy snub \u0026 why it matters
2:09 – Welcome Michelle \u0026 Garrett
3:34 – From Starbucks reviews to Tom Cruise’s stunt
4:46 – How the idea got greenlit (Houdini \u0026 “white whales”)
6:55 – What it feels like to hang off a plane
9:04 – The thumbnail debate \u0026 creator lessons
13:38 – Crafting the cold open: sound design \u0026 storytelling
20:42 – Recreating Tom Cruise’s Mission Impossible stunt
23:48 – The bizarre contact lens problem
26:09 – How they test ideas with friends \u0026 creators
29:28 – Building enough problems to hold attention
31:12 – Marriage, risk, and working together
34:12 – Story structure \u0026 using Save the Cat
36:35 – Breathing room: raw moments \u0026 personality
39:03 – Safety vs. storytelling behind the scenes
41:32 – Solving the plane problem \u0026 finding the C-130
46:05 – Partnering with Red Bull \u0026 future collabs
57:57 – The Rising Cost of Challenge Accepted
1:05:15 – Emmy campaign reflections \u0026 cultural relevance
1:25:00 – What’s next for Challenge Accepted

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt

COLIN AND SAMIR’S NEWSLETTER
📫 125,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
❔ We answer questions from creators every Sunday in our newsletter. Submit yours here: https://bit.ly/publish-creator-support 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📡 Discord: https://discord.com/invite/colinandsamir
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=5TlPHtxsBIA
8XSssH3B_Dk,"The YouTube Playbook in 37 Minutes","Colin and Samir",https://i.ytimg.com/vi/8XSssH3B_Dk/hqdefault.jpg,"Download our Free 7-Point YouTube Checklist: http://colinandsamir.com/checklist

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt

COLIN AND SAMIR’S NEWSLETTER
📫 125,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press",https://www.youtube.com/watch?v=8XSssH3B_Dk
cm2ZzY_x9eg,"Josh Johnson: The Comedian Taking Over YouTube","Colin and Samir",https://i.ytimg.com/vi/cm2ZzY_x9eg/hqdefault.jpg,"Check out @JoshJohnsonComedy ! 

Watch Recent stand up from Josh Johnson 
Trump Got Exposed (And It Wasn’t Epstein)
https://youtu.be/gP0WMVHzU34?si=WNZCk49nGcaJpD3t

Is this a New America? Trump Takes Over D.C.
https://youtu.be/eRnEp0onnoo?si=eli-7595P_vrCer7

Donald Trump and the Pardon Party
https://youtu.be/yoB1zD1wiSo?si=DCI5oqptVNUcVNrh

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt

COLIN AND SAMIR’S NEWSLETTER
📫 125,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
❔ We answer questions from creators every Sunday in our newsletter. Submit yours here: https://bit.ly/publish-creator-support 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📡 Discord: https://discord.com/invite/colinandsamir
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=cm2ZzY_x9eg
w52xUmjIZPk,"How Nick DiGiovanni Cracked the YouTube Algorithm","Colin and Samir",https://i.ytimg.com/vi/w52xUmjIZPk/hqdefault.jpg,"Try Spotter Studio: https://partner.spotterstudio.com/colinandsamir

(Free worksheet) Learn how to write great hooks using Nick's formula: https://courses.colinandsamir.com/3-components-of-a-great-hook

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt 

Watch @NickDiGiovanni 's Channel - I Cooked For A Lion
https://youtu.be/WP8EMyoWUlM?si=aIkvjn_JWASJulwX

COLIN AND SAMIR’S NEWSLETTER
📫 135,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
❔ We answer questions from creators every Sunday in our newsletter. Submit yours here: https://bit.ly/publish-creator-support 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📡 Discord: https://discord.com/invite/colinandsamir
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=w52xUmjIZPk
CQE2E88QJes,"Ryan Trahan reacts to 50 States in 50 Days","Colin and Samir",https://i.ytimg.com/vi/CQE2E88QJes/hqdefault.jpg,"Learn about YouTube: http://colinandsamir.com/newsletter

Watch @ryan  's 50 States in 50 Days: https://www.youtube.com/@UCnmGIkw-KdI0W5siakKPKog 

donate here - https://www.stjude.org/50states

Watch: 
I Visited 50 States in 50 Days - Day 33: https://youtu.be/LSUPt9cfomw?si=I_2-lSkyMq_lpDPG

I Visited 50 States in 50 Days - Day 34",https://www.youtube.com/watch?v=CQE2E88QJes
WiykZ3rYBuQ,"We interviewed the Banksy of Gen Z","Colin and Samir",https://i.ytimg.com/vi/WiykZ3rYBuQ/hqdefault.jpg,"Check out Epidemic Sound and get 50 in Five: https://share.epidemicsound.com/colinandsamirJUN25

Check out Anthpo's channel: https://www.youtube.com/@UC94XlnLwRY7AP1GhbfbAcYQ 
I was 'Kid With Crocs' - https://youtu.be/j1AReFV9ckY?si=lzXOVxzQotAlysid
how i started the timothee chalamet lookalike contest - https://youtu.be/W0L9qs8rzfM?si=20Ul5Bkyb_1hyPer
I was New York's Cheeseball Man - https://youtu.be/hHeV486B5iI?si=i3P4i5vs5mRvGmBJ

YouTuber Anthony Potero aka Anthpo is one of the brightest minds when it comes to storytelling on the internet. He's responsible for the Timothee Chalamet Lookalike Contest, Cheeseball Man, and Kid with Crocs

00:00 – Intro  
03:15 – Anthpo’s Early Internet Fame and Creative Roots  
05:09  – The Chalamet Lookalike Contest Concept  
23:30 — Why anonymity is so crucial  
31:44 — Anthpo’s secret sauce 
40:40 - Kid with Crocs, explained
48:08 — The 6 Principles of Influence
01:01:55 - Why Kid with Crocs worked
01:07:55 — YouTube vs TikTok 
01:18:00 — Take a selfie with this cat 
1:24:30 – Is Anthpo a YouTuber? 
01:29:30 - The Rules of Good YouTube videos  
01:36:05 — Cheeseball man, explained
1:38:55 – Advice for creators and brands 

Learn how to start a YouTube Channel 
https://www.colinandsamir.com/creatorstartup-yt

COLIN AND SAMIR’S NEWSLETTER
📫 125,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
❔ We answer questions from creators every Sunday in our newsletter. Submit yours here: https://bit.ly/publish-creator-support 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📡 Discord: https://discord.com/invite/colinandsamir
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.",https://www.youtube.com/watch?v=WiykZ3rYBuQ
