youtubeId,title,channelName,thumbnailUrl,description,videoUrl
tsoNMy6cGZc,"David Senra: Why the Best Are Not just 10% Better","My First Million",https://i.ytimg.com/vi/tsoNMy6cGZc/hqdefault.jpg,"*Get Sam's top 7 books for entrepreneurs (+ his reading strategy):* https://clickhubspot.com/snr

Episode 784: Sam Parr ( ⁠https://x.com/theSamParr⁠ ) sits down with David Senra ( https://x.com/FoundersPodcast ) to talk about greatness, balance and what destroys successful people. 

Show Notes:
(0:00) Intro
(1:22) Balance is the enemy of greatness
(9:13) How to remember what you learn
(17:10) Revenge for Being Born \u0026 Reframing the Inner Critic
(26:40) Success, Relationships, and What Destroys Great People
(30:55) Advice for 19-Year-Olds
(34:42) David’s ideal board of advisors
(39:20) Don’t Do Anything Someone Else Can Do
(44:05) what successful people really think about at the end
(48:30) Compounding wisdom

—
Links:
• Founders Podcast - https://www.youtube.com/@founderspodcast1 

—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC
• I run all my newsletters on Beehiiv and you should too + we're giving away $10k to our favorite newsletter, check it out:
beehiiv.com/mfm-challenge

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano /",https://www.youtube.com/watch?v=tsoNMy6cGZc
vLtf9dPSi0M,"The Most Important Founder You've Never Heard Of","My First Million",https://i.ytimg.com/vi/vLtf9dPSi0M/hqdefault.jpg,"*Get our Resource Vault - a curated collection of pro-level business resources (tools, guides, databases)* https://clickhubspot.com/dba

Episode 786:  Sam Parr ( ⁠https://x.com/theSamParr⁠ ) and Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) tell the story Demis Hassabis ( https://x.com/demishassabis ) and the creation of Deepmind. 

Show Notes:
(0:00) Demis the Menace
(22:05) The only resource you need is resourcefulness
(2457) Move 37
(29:38) The olympics of protein folding
(46:39) We are the gorillas

—
Links:
• The Thinking Game - https://www.youtube.com/watch?v=d95J8yzvjbQ 
• Why We Do What We Do - https://www.youtube.com/watch?v=BwFOwyoH-3g 
• Fierce Nerds - https://paulgraham.com/fn.html 
• Isomorphic Labs - https://www.isomorphiclabs.com/ 
• If Anyone Builds It, Everyone Dies - https://ifanyonebuildsit.com/ 


—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC
• I run all my newsletters on Beehiiv and you should too + we're giving away $10k to our favorite newsletter, check it out:
beehiiv.com/mfm-challenge

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano /",https://www.youtube.com/watch?v=vLtf9dPSi0M
2VNflAMbWEk,"Two Millionaires on the Worst Mistakes They Made Early","My First Million",https://i.ytimg.com/vi/2VNflAMbWEk/hqdefault.jpg,"*Get the free Side Hustle Ideas Database 👉* https://clickhubspot.com/dhc

Episode 782: Sam Parr ( ⁠https://x.com/theSamParr⁠ ) and Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) answer listener questions. 

Show Notes:
(0:00) Biggest mistake in business you've never talked about
(7:33) Best company to work at to become a millionaire
(20:43) How much revenue did Hampton make in 2025?
(21:28) 2026 misogi's
(29:46) what's your f u money purchase
(35:28) what are the mfm OGs up to?
(43:07) how to build compounding wealth
(50:09) Who would be your jail call?
(1:04:41) best idea you've heard on the pod

—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC
• I run all my newsletters on Beehiiv and you should too + we're giving away $10k to our favorite newsletter, check it out:
beehiiv.com/mfm-challenge

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano //",https://www.youtube.com/watch?v=2VNflAMbWEk
xhfF7QDtuB0,"if you didn't make progress in 2025, watch the first 10 minutes.","My First Million",https://i.ytimg.com/vi/xhfF7QDtuB0/hqdefault.jpg,"*Get Sam's guide to turn ChatGPT into your life coach:* https://clickhubspot.com/wkc

Episode 773: Sam Parr ( ⁠https://x.com/theSamParr⁠ ) and Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) talk about the systems you need to hit your goals, Shaan’s new unpaid side hustle, and how to be a better communicator. 
—
Show Notes:
(0:00) 5-year journaling
(2:09) The power of a good system
(8;21) The power of reminders
(10:38) Shaan's new career path
(16:27) the 3 things that matter
(27:38) high-standards
(32:45) How to craft an earworms
(42:42) giving back better
(46:11) The voice in your head
(50:26) Shaan talks to a ChatGPT coach about money
(1:00:01) “VIdeo is the native tongue of the internet”

—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano //",https://www.youtube.com/watch?v=xhfF7QDtuB0
zdpFZFyGlnA,"Billionaire Lawyer Reveals His Side Hustle Playbook.","My First Million",https://i.ytimg.com/vi/zdpFZFyGlnA/hqdefault.jpg,"*Get the side hustle ideas database:* https://clickhubspot.com/rbm

Episode 774: Sam Parr ( ⁠https://x.com/theSamParr⁠ ) and Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) talk to America’s richest lawyer John Morgan ( https://x.com/JohnMorganESQ ) about his fly-wheel side hustles. 
—
Show Notes:
(0:00) Intro
(2:08) Wonderworks
(7:00) Alcatraz East ($5M/yr)
(13:00) John's earliest hustles
(17:11) Morgan \u0026 Morgan
(29:48) The John Morgan School of Branding
(33:30) Downtown Flavortown
(37:55) WWGD - What would Google do
(47:30) What John would chase today
(48:58) The winning formula
(52:05) Santa's Chocolate Factory
(56:11) Malls
(1:01:36) Bullets before bombs
(1:02:13) “fish first, fish fast”

—
Links:
• WonderWorks - https://www.wonderworksonline.com/ 
• Alcatraz East - https://www.alcatrazeast.com/ 
• Morgan and Morgan - https://www.forthepeople.com/ 
• Litify - https://www.litify.com/ 
• Practice Made Perfect - https://www.pmpmg.com/ 
• Mass Torts Made Perfect - https://mtmp.com/ 


—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano //",https://www.youtube.com/watch?v=zdpFZFyGlnA
KiDH3UElTyY,"Level Up Your Life In 2026 | Shaan Puri","My First Million",https://i.ytimg.com/vi/KiDH3UElTyY/hqdefault.jpg,"*Want the 4 money rules that changed my life? Get it here:* https://clickhubspot.com/rfj

Episode 783: Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) gets interviewed by his former intern about quitting a $120K/yr job in his 20s to become strategically broke and the other counter-intuitive decisions that made him successful. 

Show Notes:
(0:00) Intro
(1:56) Quitting a $120k job to be broke and live with 3 friends (Don’t linger on bad decisions)
(10:26) Fear is what holds people back more so than anything else
(13:17) How to get what you (actually) want.
(16:37) Most people are not serious
(28:21) Who is the most important voice in your life?
(34:05) Why I decided to sell my company to Twitch \u0026 Amazon.
(40:18) The biggest waste of time is doing something that needn’t been done at all (Elon)
(41:52)  “You can’t run an A/B test on life” (Act Accordingly)
(52:37) There are no bonus points for making things harder for yourself (location)
(58:23) The best people are 'down' (Buffett)

—
Links:
• The Biography Podcast - https://www.youtube.com/@thebiographypod 

—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC
• I run all my newsletters on Beehiiv and you should too + we're giving away $10k to our favorite newsletter, check it out:
beehiiv.com/mfm-challenge

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano /",https://www.youtube.com/watch?v=KiDH3UElTyY
Wjk8Pkynkqc,"2025 Milly Awards LIVE ft. Steph Smith","My First Million",https://i.ytimg.com/vi/Wjk8Pkynkqc/hqdefault.jpg,"*Get Steph's free Digits Database with 100+ generation-defining stats:* https://clickhubspot.com/mgc

Sam and Shaan are joined by Steph Smith to break down the best and worst of the year LIVE.",https://www.youtube.com/watch?v=Wjk8Pkynkqc
4G1bwuXoKo4,"$50M Poker Pro Shares Emotional Intelligence Tricks For Founders","My First Million",https://i.ytimg.com/vi/4G1bwuXoKo4/hqdefault.jpg,"*Want Sam's top 7 books for entrepreneurs? Get it here:* https://clickhubspot.com/ewg

Episode 753: Sam Parr ( https://x.com/theSamParr ) and Shaan Puri ( https://x.com/ShaanVP ) talk to poker pro Daniel Negreanu ( https://x.com/realkidpoker ) about the inner game of risk and performance under pressure. 
—
Show Notes:
(0:00) Intro
(6:28) The Scotty Nguyen story
(8:07) Reading People
(22:30) Daniel's first poker game
(27:21) Be, Do, Have
(39:10) Phil Ivey
(44:46) Common leaks
(49:12) the hypnagogic state
(52:35) Emotional intelligence
(59:46) Kidlan's Law
(1:03:20) Handling the downswings

—
Links:
• Daniel on YouTube - https://www.youtube.com/channel/UC0w4AA42ItXQEb9aZld87-w 
• Daniel Negreanu - https://danielnegreanu.com/ 

—
Check Out Shaan's Stuff:
• One Hour Books - https://www.onehourbooks.co/ 
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC


—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/


My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano",https://www.youtube.com/watch?v=4G1bwuXoKo4
rdChG9FPs80,"He Went From $20K to $70M Using a Strategy Anyone Can Learn","My First Million",https://i.ytimg.com/vi/rdChG9FPs80/hqdefault.jpg,"*Get Shaan's 4 money rules that took him from broke to $25M by 30:* https://clickhubspot.com/fbv

Episode 777: Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) talks to Chris Camillo ( https://x.com/ChrisCamillo ) about how he turned $20K into $60M using social arbitrage investing. 
—
Show Notes:
(0:00) Intro
(1:00) Turning $20K to $60M
(5:30) Garage sale arbitrage
(12:36) Observational investing
(14:33) Bet: Beacon Roof
(19:03) Bet: E.l.f
(22:04) Trending on Twitter
(29:00) Ticker Tags
(31:55) Bet: Sphere in Las Vegas
(36:48) Chris's first million
(40:34) My biggest mistake
(43:42) Bet: Palantir
(46:58) Drawing down 40% of my net worth
(51:49) $30M in one year
(57:39) 2026 picks: Bloom Energy, Palantir, NVIDIA
(1:02:06) Should regular people do this?
(1:13:45) Bet: Private airfare

—
Links:
• Dumb Money Live - https://www.youtube.com/@DumbMoneyLive 
• Unknown Market Wizards - https://www.amazon.com/Market-Wizards-traders-youve-never/dp/0857198696 
• Bloom -  https://www.bloomenergy.com/ 

—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC
• I run all my newsletters on Beehiiv and you should too + we're giving away $10k to our favorite newsletter, check it out:
beehiiv.com/mfm-challenge

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano //",https://www.youtube.com/watch?v=rdChG9FPs80
R4uQlm2xF1I,"The Richest People I Know Do One Thing","My First Million",https://i.ytimg.com/vi/R4uQlm2xF1I/hqdefault.jpg,"• *Get our Resource Vault: a curated collection of pro-level business resources* https://clickhubspot.com/ckd

Episode 785:  Shaan Puri ( ⁠https://x.com/ShaanVP⁠ ) talks to Nick Huber ( https://x.com/sweatystartup ) about the biggest bet he ever made and the mistakes he learned the hard way.

Email Nick@SweatyStartup.com to get hooked up with a pre-vetted salesperson, finance person or executive assistant. 

Show Notes:
(0:00) Intro
(3:24) Breaking down Nick's portfolio
(8:49) The deal structure and terms
(11:20) Fail: Buying a domain for $400K, killing out traffic
(12:24) Fail Elon bought twitter + I invited competition
(16:49) new owner syndrome
(18:43) How to hire overseas talent (10-min masterclass)
(27:18) Peter Thiel's Stanford class
(30:17) Suli's brutal advice
(34:23) Holdcos is overrated
(36:04) The tortoise always wins
(38:52) one big thing
(47:25) Roofing
(51:07) Self-storage

—
Links:
• Somewhere - https://somewhere.com/ 

—
Check Out Shaan's Stuff:
• Shaan's weekly email - https://www.shaanpuri.com 
• Visit https://www.somewhere.com/mfm to hire worldwide talent like Shaan and get $500 off for being an MFM listener. Hire developers, assistants, marketing pros, sales teams and more for 80% less than US equivalents.
• Mercury - Need a bank for your company? Go check out Mercury (mercury.com). Shaan uses it for all of his companies!
Mercury is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Financial Group, Column, N.A., and Evolve Bank \u0026 Trust, Members FDIC
• I run all my newsletters on Beehiiv and you should too + we're giving away $10k to our favorite newsletter, check it out:
beehiiv.com/mfm-challenge

—
Check Out Sam's Stuff:
• Hampton - https://www.joinhampton.com/
• Ideation Bootcamp - https://www.ideationbootcamp.co/
• Copy That - https://copythat.com
• Hampton Wealth Survey - https://joinhampton.com/wealth
• Sam’s List - http://samslist.co/

My First Million is a HubSpot Original Podcast // Brought to you by HubSpot Media // Production by Arie Desormeaux // Editing by Ezra Bakker Trupiano /",https://www.youtube.com/watch?v=R4uQlm2xF1I
