youtubeId,title,channelName,thumbnailUrl,description,videoUrl
8kM-JcKpcDs,"How I grew my mobile app to $17K per month","Starter Story",https://i.ytimg.com/vi/8kM-JcKpcDs/hqdefault.jpg,"George built a mobile app without writing a single line of code. This video breaks down how he vibe coded his app, his influencer partnership playbook, and how non-coders can build profitable mobile apps using AI tools.

Build an iOS app → https://build.starterstory.com/build/the-ios-bootcamp?utm_source=youtube\u0026utm_campaign=george

Follow George: https://x.com/GeorgeLampro20

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=8kM-JcKpcDs
XifgHi9R5Rc,"How My App Hit $60K/Month in Just 2 Months","Starter Story",https://i.ytimg.com/vi/XifgHi9R5Rc/hqdefault.jpg,"Lara just launched an AI writing tool for LinkedIn. They made $30K in 4 days, and went from $0 to $60K/month in less than 2 months. The secret? The Kleo Launch Playbook. This video breaks down exactly how they built up hype for their app, launched to a private beta, and hit $30K MRR in just a few days.

Grab the personal brand playbook → https://build.starterstory.com/build/playbook-personal-brand?utm_source=youtube\u0026utm_campaign=larakleo

Join an upcoming Starter Story Build Bootcamp → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=kleo

Follow Lara: https://x.com/Laraacostar
Check out Kleo: https://kleo.so/ 

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=XifgHi9R5Rc
ZGwQoRw7mh8,"My Side Project Makes $15K/Month (Quit My 9-5)","Starter Story",https://i.ytimg.com/vi/ZGwQoRw7mh8/hqdefault.jpg,"This is how Ben Bozzay built his side project to $15K per month and was able to never work FT again.

Start your side project using AI today→ https://build.starterstory.com/build/ai-build-accelerator?utm_source=youtube\u0026utm_campaign=benbozzay

Follow Ben’s journey: https://x.com/benbozzay

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

0:00 - Intro
0:51 - Who is Ben Bozzay
1:25 - Tech Lockdown breakdown
1:44 - Who Tech Lockdown is for
2:20 - Ben's experience with side projects
3:17 - Idea for Tech Lockdown
4:02 - Getting fired
4:46 - Why Tech Lockdown succeeded
5:29 - How to build alongside a full-time job
6:27 - How to start a side project
7:12 - Start YOUR side project using AI
8:03 - Ben's playbook for finding ideas
9:15 - Numbers behind Tech Lockdown
9:39 - Growth \u0026 marketing
11:02 - Content creation strategy
11:36 - Tech stack
12:47 - Make your side project scalable
13:20 - Don't overcomplicate things
14:02 - The final word

This video is an educational case study of one founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=ZGwQoRw7mh8
0T55DRYqeeA,"From Zero to $42K/Month in 90 Days with AI","Starter Story",https://i.ytimg.com/vi/0T55DRYqeeA/hqdefault.jpg,"This is how CJ Zafir built an AI tool to $42,000 MRR in just 90 days.

🛠️ Want to start building with AI? Check out Starter Story Build → https://build.starterstory.com/build/ai-build-accelerator?utm_source=youtube\u0026utm_campaign=cj

Follow CJ's Journey: https://x.com/cjzafir

🔔 Follow the Second Channel: ‪@StarterStoryBuild‬ 
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
1:35 - CJ's story
2:12 - What issue does CodeGuide solve
3:00 - The opportunity in AI apps
3:47 - CJ's backstory
5:05 - How to find a successful idea
5:51 - How to validate an idea
7:17 - How to build a product
8:32 - The best way to build with AI
10:24 - CJ's marketing strategy
12:09 - Converting users into paying customers
12:40 - CJ's business model \u0026 pricing
13:27 - CJ's tech stack
14:59 - Day in the life of CJ
15:53 - CJ's experience with Starter Story
16:55 - CJ's advice to entrepreneurs
18:01 - Outro

This video is an educational case study of one founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=0T55DRYqeeA
PmyXmpkTIdc,"I flipped 4 apps and made $500,000","Starter Story",https://i.ytimg.com/vi/PmyXmpkTIdc/hqdefault.jpg,"Lotts Ezeike is a London-based founder who's perfected the art of flipping apps. His method: build apps fast, grow them to $10-20K MRR, sell them for all-cash deals, and moves on. He's done this four times and made over $500K.

🚀 Build a full-stack app in minutes → https://go.starterstory.com/lotts

🛠️ Build your own app with Starter Story Build → https://build.starterstory.com/build/ai-build-accelerator?utm_source=youtube\u0026utm_campaign=lotts

Follow Lotts: https://x.com/lottsnomad

🔔 Follow the Second Channel: ‪@StarterStoryBuild‬ 
🏁 We're hiring: starterstory.com/jobs

0:00 - Intro
1:12 - Who is Lotts
1:31 - Sold apps
2:10 - Background
2:41 - The first flip story
3:49 - Why you should build and flip
5:00 - How to come up with app ideas
6:16 - Build fast with Rocket
7:07 - Build \u0026 Flip Playbook (Step-by-Step)
11:41 - Profitable app ideas
13:33 - Tech stack
14:26 - Costs \u0026 margins
15:00 - Advice
15:57 - Final word",https://www.youtube.com/watch?v=PmyXmpkTIdc
yBjcmMhXSDk,"How I Grew My Mobile App to $20K/month","Starter Story",https://i.ytimg.com/vi/yBjcmMhXSDk/hqdefault.jpg,"Mau is a solo founder who built and grew his mobile app to $20K/month. This video is the complete playbook for building mobile apps in 2026: how he built it with AI, grew organically, and is scaling with paid ads. 

Build your own iOS app → https://build.starterstory.com/build/the-ios-bootcamp?utm_source=youtube\u0026utm_campaign=mau

Follow Mau: https://x.com/maubaron
Check out his app: https://www.prayerlock.com/

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=yBjcmMhXSDk
FCGpgPZqmkY,"How I built my first SaaS without an audience ($25K/month)","Starter Story",https://i.ytimg.com/vi/FCGpgPZqmkY/hqdefault.jpg,"Hassam is a non-technical founder who built his app 100% with AI. Then he hacked distribution by using someone else's audience to share his work. This video breaks down his distribution strategy that helped him his $25K MRR in 90 days. 

Build an app with AI → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=hassam

Follow Hassam: https://x.com/hasaamb

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
0:59 - Who is Hassam?
1:21 - App background
2:24 - Hassam's non-technical background
3:19 - Finding the idea
4:31 - Trading equity for distribution
6:32 - Ready to build?
7:23 - Why this project worked
8:23 - Domain knowledge playbook
11:01 - Tech stack
12:21 - Stop waiting and start building
13:22 - Pat and Gus takeaways
14:28 - Build apps with AI fast

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=FCGpgPZqmkY
xeUhKuJbeWQ,"I Built 4 SaaS Apps to $100K MRR: Here's My Exact Playbook","Starter Story",https://i.ytimg.com/vi/xeUhKuJbeWQ/hqdefault.jpg,"Tibo runs a portfolio of successful micro-SaaS projects and in this video, we walk through his specific playbook he uses over and over again to launch successful saas companies. 

Learn how top startups grow → https://clickhubspot.com/c1f798

Build and launch an app → https://build.starterstory.com/build/ai-build-accelerator?utm_source=youtube\u0026utm_campaign=tibo

Follow Tibo: https://x.com/tibo_maker

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
1:10 - Who is Tibo?
1:43 - Tibo’s 5 apps
3:38 - “Do the hard thing.”
4:57 - What are top startups doing to grow?
6:17 - Playbook: Product Market Fit
11:40 - Playbook: Distribution
15:30 - Portfolio strategy
16:55 - Final piece of advice
17:55 - Pat’s notes and reflections

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=xeUhKuJbeWQ
7KqlwjBM_tM,"How I Built It: $30K/month Micro-SaaS (Subscribr Breakdown)","Starter Story",https://i.ytimg.com/vi/7KqlwjBM_tM/hqdefault.jpg,"Gil is a developer who left the VC-backed world to bootstrap his own app. He has a simple playbook for building apps: pre-sell first and THEN build. In this video, we break down how he bootstrapped his app to over $30K/month

Build your own simple app → https://build.starterstory.com/build/ai-build-accelerator?utm_source=youtube\u0026utm_campaign=gil

Follow Gil: https://x.com/gilhildebrand
Check out his app: https://subscribr.ai/

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
0:50 - Subscribr Overview
1:15 - Numbers behind Subscribr
1:46 - Gil's Background
2:50 - Idea for Subscribr
3:52 - 4-part validation strategy
6:01 - Starter Story Build
7:06 - Gil's building philosophy
8:42 - The Pre-Sale Playbook
13:03 - Tech Stack and Costs
14:10 - Advice to younger self
15:28 - Pat's takeaways

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=7KqlwjBM_tM
ST2ROUFbdvU,"How We Grew Our App to $30K/Month","Starter Story",https://i.ytimg.com/vi/ST2ROUFbdvU/hqdefault.jpg,"Alejandro and Mario built Pushscroll: a fitness app that's making $30K/month. But they took an entirely different approach. This story is about a new way to build apps: where your first MVP isn’t code, it’s content.

Get the Content-First Playbook → https://build.starterstory.com/build/playbook-validate-app-idea?utm_source=youtube\u0026utm_campaign=pushscroll-playbook

Build an app with AI → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=pushscroll

Follow Alejandro: https://x.com/skyirezumi 
Founder Mario: https://x.com/null_deref 

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=ST2ROUFbdvU
