youtubeId,title,channelName,thumbnailUrl,description,videoUrl
go9HEz_Nc2s,"Story behind India's first Guilt Free Cafe | Yummy Bee | Sandeep Jangala | Startup Stories Uncut","Startup Stories",https://i.ytimg.com/vi/go9HEz_Nc2s/hqdefault.jpg,"Story behind India's first Guilt Free Cafe.

In this episode of Startup Stories Uncut, we sit down with Sandeep Jangala, Founder of Yummy Bee, to uncover the real story behind creating a café that serves delicious food without refined sugar, maida, or guilt.

From identifying a gap in India’s health-conscious food market to building a sustainable café brand, Sandeep shares:

The idea behind Yummy Bee

Challenges of launching a guilt-free café in India

Building a loyal customer base

Lessons for aspiring food \u0026 beverage entrepreneurs

If you’re interested in startups, food businesses, healthy brands, or founder journeys, this episode is for you.

👉 Watch till the end for raw insights and startup lessons.
💬 What’s your favorite guilt-free food? Drop it in the comments!

#StartupStories #StartupStoriesUncut #YummyBee #SandeepJangala #GuiltFreeCafe #HealthyCafe #FoodStartup #IndianStartup #CafeBusiness #HealthyFood #SugarFree
#FounderStory #EntrepreneurLife #StartupJourney #FandBStartup


Credentials: 
Guest - https://www.linkedin.com/in/sandeep-jangala-92790317/
Host - Alveer Rahman: https://www.linkedin.com/in/alveer-rahman/
Location -Yummy Bee: https://share.google/19peygI1UxNl7DxmC


Click Here to Watch:

- Ambani: The Secrets to Building a Conglomerate: https://youtu.be/bj8C0c40cKQ

- Howard Schultz Motivational Video: https://youtu.be/J2eAtAITxdE

- T.N.Seshan's Inspirational Story: https://youtu.be/hg3l2Sy12o4

- Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

- Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Instagram: https://www.instagram.com/startupstoriesofficial/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/

Follow us on Twitter: https://twitter.com/stories_startup",https://www.youtube.com/watch?v=go9HEz_Nc2s
_UsyaY7DrXY,"Why is lifestyle the next big thing? | Startup Stories Uncut | Episode 1","Startup Stories",https://i.ytimg.com/vi/_UsyaY7DrXY/hqdefault.jpg,"In this episode of Startup Stories Uncut, we dive into Lifestyle and wellness entrepreneurship and why this is the next big thing in the startup world. From emerging trends to real founder insights, this series uncovers raw, unfiltered stories behind the rise of lifestyle-driven brands.

This podcast features Naveen Arun, Founder of Earthstar Properties \u0026 Co-Founder of Starlite Wellness, sharing his inspiring journey and unique perspective on the evolving lifestyle space. 

01:55 - Welcome our guest

03:10 - What is Lifestyle and Wellness Entrepreneur?

06:00 - Is depression and anxiety becoming a trend?

11:45 - Is time really a luxury?

15:35 - What does Naveen Arun bring to the segment of Lifestyle and Wellness?

26:10 - How has the change in lifestyle aided the growth in Wellness and real estate segment?

29:20 - Is the Status Quo a boost to selling or a bane leading to saturation?

36:00 - Is entrepreneurship becoming a trend that everyone wants to be a part of?

40:30 - Are people well read or they just want to speak the jargons? 

45:45 - A true entrepreneurs mindset!

52:00 - A Note to take home! 

55:00 - Naveen Arun's Business Card

56:05 - Closing note!

🔥 Whether you’re an entrepreneur, investor, or someone passionate about new-age businesses — this is your front-row seat to the next wave of innovation. Reach out to us and you can be our very next guest!

👉 Subscribe and hit the bell icon 🔔 to never miss an episode.
🎧 Full Episode Coming Soon!

Credentials: 
Guest - Naveen Arun: https://www.linkedin.com/in/naveenarun/
Host - Alveer Rahman: https://www.linkedin.com/in/alveer-rahman/
Location - Startlite Wellness: https://share.google/NeXejNON1xDKYNC54

Click Here to Watch:

- Ambani: The Secrets to Building a Conglomerate: https://youtu.be/bj8C0c40cKQ

- Howard Schultz Motivational Video: https://youtu.be/J2eAtAITxdE

- T.N.Seshan's Inspirational Story: https://youtu.be/hg3l2Sy12o4

- Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

- Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Instagram: https://www.instagram.com/startupstoriesofficial/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/

Follow us on Twitter: https://twitter.com/stories_startup",https://www.youtube.com/watch?v=_UsyaY7DrXY
bj8C0c40cKQ,"Ambani: The Secrets to Building a Conglomerate | Reliance Industries | Startup Stories","Startup Stories",https://i.ytimg.com/vi/bj8C0c40cKQ/hqdefault.jpg,"Ambani: The Secrets to Building a Conglomerate. This video delves into the key milestones, strategic decisions, and entrepreneurial spirit that fueled the creation of Reliance Industries, one of India's largest and most influential conglomerates.

#Ambani #Reliance #MukeshAmbani #DhirubhaiAmbani #BusinessJourney #IndianBusiness #SuccessStory #Entrepreneur #Billionaire #IndiaEconomy #RelianceIndustries #startupstories 

Stay tuned to Startup Stories for more inspirational and motivational stories.

Click Here to Watch:

T.N.Seshan's Inspirational Story: https://youtu.be/hg3l2Sy12o4

Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/?ref=br_rs

Follow us on Twitter: https://twitter.com/stories_startup",https://www.youtube.com/watch?v=bj8C0c40cKQ
J2eAtAITxdE,"Howard Schultz Motivational Video | Starbucks | Success Story | Startup Stories","Startup Stories",https://i.ytimg.com/vi/J2eAtAITxdE/hqdefault.jpg,"Howard Schultz motivational video presented by @StartupStoriesTV ! 

Here is the success story behind Starbucks, one of the most visited and consumed walk in coffee stores and the visionary leadership behind it's success.

#HowardSchultz #BestMotivationalVideos2025 #LegacyOfLeadership #StartupStories #NewVideoAlert #Starbucks #InspirationForever

Stay tuned to Startup Stories for more inspirational and motivational stories.

Click Here to Watch:

T.N.Seshan's Inspirational Story: https://youtu.be/hg3l2Sy12o4

Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/?ref=br_rs

Follow us on Twitter: https://twitter.com/stories_startup",https://www.youtube.com/watch?v=J2eAtAITxdE
hg3l2Sy12o4,"T.N.Seshan's Inspirational Story | Best Motivational Videos 2025 | #Leadership | Startup Stories","Startup Stories",https://i.ytimg.com/vi/hg3l2Sy12o4/hqdefault.jpg,"T.N.Seshan's Inspirational Story on Startup Stories. TN Seshan was more than just a name – he was a revolutionary force who transformed the Indian electoral system with his integrity, courage, and relentless pursuit of justice. As the Chief Election Commissioner of India, he stood as a pillar of strength, ensuring fair and transparent elections, and empowering the right of every voter.

In this video, we take a closer look at his extraordinary journey, his impactful reforms, and the legacy he left behind that continues to inspire generations.

#TNSeshan #BestMotivationalVideos2025 #LegacyOfLeadership #StartupStories #NewVideoAlert #IndianDemocracy #InspirationForever

Stay tuned to Startup Stories for more inspirational and motivational stories.

Click Here to Watch:

Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/?ref=br_rs

Follow us on Twitter: https://twitter.com/stories_startup",https://www.youtube.com/watch?v=hg3l2Sy12o4
r56BTpW78Qw,"Ratan Tata - An Eternal Thought | RIP Ratan Tata | Startup Stories","Startup Stories",https://i.ytimg.com/vi/r56BTpW78Qw/hqdefault.jpg,"Join us in celebrating the extraordinary life of Ratan Tata, a visionary leader and philanthropist who shaped modern India. In this heartfelt tribute video, we reflect on his remarkable journey, highlighting his contributions to the Tata Group and his unwavering commitment to social causes.

Key Highlights:
Legacy of Leadership: Explore Ratan Tata's transformative impact on India's industrial landscape as Chairman of Tata Sons from 1991 to 2012.
Innovation: Nation changing endeavours from launching the people's car, Nano to bring Tata motors to the global map by acquiring Jaguar and Land Rover.
Philanthropic Endeavors: Discover how he championed various social initiatives through the Tata Trusts, uplifting countless lives across the nation.

As we remember Ratan Tata, let us honor his legacy of humility, integrity, and compassion. This video serves not only as a tribute but also as a reminder of the values he embodied. Don’t forget to like, share, and subscribe for more inspiring content!

#RatanTata #RIPRatanTata

Stay tuned to Startup Stories for more inspirational and motivational stories. 

Click Here to Watch:

Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/?ref=br_rs

Follow us on Twitter: https://twitter.com/stories_startup

Follow us on Instagram: https://www.instagram.com/startupstoriesofficial/",https://www.youtube.com/watch?v=r56BTpW78Qw
6vNIJR-GKtk,"The Untold Story of Larry Page | Google Co Founder Larry Page | Google | Startup Stories","Startup Stories",https://i.ytimg.com/vi/6vNIJR-GKtk/hqdefault.jpg,"The untold story of Larry Page on Startup Stories. Larry Page, the visionary co-founder of Google, is a brilliant computer scientist who revolutionized the way we search and access information. His groundbreaking work, alongside Sergey Brin, has had a profound impact on the world.

#TheUntoldStoryofLarryPage #GoogleCoFounderLarryPage #Google #StartupStories #LarryPage #InspirationalStories #UntoldStories

Stay tuned to Startup Stories for more inspirational and motivational stories. 

Click Here to Watch:

Top 5 Women Entrepreneurs - https://youtu.be/3ITLS5tYxoo

Top five entrepreneurship lessons: https://youtu.be/e1rEHiuDtuc

SUBSCRIBE: https://www.startupstories.in/

Follow us on Facebook: https://www.facebook.com/StartupStoriesOfficial/?ref=br_rs

Follow us on Twitter: https://twitter.com/stories_startup

Follow us on Instagram: https://www.instagram.com/startupstoriesofficial/",https://www.youtube.com/watch?v=6vNIJR-GKtk
RtYDna2QbXo,"The Story Behind India’s Largest Tea-Chain | Business Latest Videos | Startup Stories","Startup Stories",https://i.ytimg.com/vi/RtYDna2QbXo/hqdefault.jpg,"The Story Behind India’s Largest Tea-Chain | Business Latest Videos | Startup Stories
#TeaTime #TeaTimeFranchise #Startup #StartupStories #StartupStoriesSpotlight #Tea #TeaLovers #IndianBusiness

Uday Srinivas Turned Humble Beginnings into a Successful Business, by Selling Tea to a Generation that Seems to be Consumed by Coffee.

Click Here to Watch:

Startup Stories Spotlight - Kheyti - The Process Behind  - https://youtube.com/shorts/HMh3uQYw6rM

Write in a Journal - https://youtube.com/shorts/j6M9la_cWJw

Your Evening Habit Can be a Career - https://youtube.com/shorts/I6grOw9QRH0

Assessment Tests to the Rescue - https://youtube.com/shorts/JTBxrjYE9VE

Candle Making - a Career Option, Who Knew! - https://youtube.com/shorts/WR1R5wBSW1k

For more updates:
Subscribe - https://www.youtube.com/@StartupStoriesTV
Like - https://www.facebook.com/StartupStoriesOfficial
Follow - https://www.instagram.com/startupstoriesofficial
Follow - https://twitter.com/stories_startup",https://www.youtube.com/watch?v=RtYDna2QbXo
4WA_tmelnVE,"Startup Stories Spotlight - Tune in | Latest Trending Videos | Startup Stories","Startup Stories",https://i.ytimg.com/vi/4WA_tmelnVE/hqdefault.jpg,"Startup Stories Spotlight - Tune in | Latest Trending Videos | Startup Stories
#TeaTime #TeaTimeFranchise #Tealovers #StartupStories #StartupStoriesSpotlight #Spotlight #Entrepreneurship #Business #FranchiseOwners 

Click Here to Watch:

How to Find Your Passion: 1-Be Attentive - https://youtube.com/shorts/KuKiP2Hv17w

Write in a Journal - https://youtube.com/shorts/j6M9la_cWJw

Your Evening Habit Can be a Career - https://youtube.com/shorts/I6grOw9QRH0

Assessment Tests to the Rescue - https://youtube.com/shorts/JTBxrjYE9VE

Candle Making - a Career Option, Who Knew! - https://youtube.com/shorts/WR1R5wBSW1k

How to De-Stress at Work: Meditation - https://youtu.be/ZqwRwXyVG0s

For more updates:
Subscribe - https://www.youtube.com/@StartupStoriesTV
Like - https://www.facebook.com/StartupStoriesOfficial
Follow - https://www.instagram.com/startupstoriesofficial
Follow - https://twitter.com/stories_startup",https://www.youtube.com/watch?v=4WA_tmelnVE
S47JG1UvYVk,"Discover Kheyti, The Startup Changing The Lives of Farmers In India | Startup Stories","Startup Stories",https://i.ytimg.com/vi/S47JG1UvYVk/hqdefault.jpg,"Discover Kheyti, The Startup Changing The Lives of Farmers In India | Startup Stories
#Kheyti #Farmers #IndiaFarmers #Farming #Entrepreneurs #Agriculture #StartupStories 
 Kheyti is An Agri-Tech Startup That Helps Smallholder Farmers Grow More Crops, With Less Water and Less Land.

Click Here to Watch:

How to Find Your Passion: 1-Be Attentive - https://youtube.com/shorts/KuKiP2Hv17w

Write in a Journal - https://youtube.com/shorts/j6M9la_cWJw

Your Evening Habit Can be a Career - https://youtube.com/shorts/I6grOw9QRH0

Assessment Tests to the Rescue - https://youtube.com/shorts/JTBxrjYE9VE

Candle Making - a Career Option, Who Knew! - https://youtube.com/shorts/WR1R5wBSW1k

How to De-Stress at Work: Meditation - https://youtu.be/ZqwRwXyVG0s

For more updates:
Subscribe - https://www.youtube.com/@StartupStoriesTV
Like - https://www.facebook.com/StartupStoriesOfficial
Follow - https://www.instagram.com/startupstoriesofficial
Follow - https://twitter.com/stories_startup",https://www.youtube.com/watch?v=S47JG1UvYVk
