youtubeId,title,channelName,thumbnailUrl,description,videoUrl
xBh3aBdZfdI,"Highlights: Padel Gaudi Munich | Google Cloud Recap","The Founder's Story",https://i.ytimg.com/vi/xBh3aBdZfdI/hqdefault.jpg,"We moved from the cloud to the court! 🎾 This is the official recap of the Google Cloud Pineapple Padel Gaudi, hosted at Pineapple Park in Munich.

We brought together Munich’s tech and startup community for a unique blend of competitive sport, networking, and cloud innovation, running two parallel tracks of action.

🏆 The Tournament Track For the competitors, the day was all about strategy and stamina. Highlights included:

🎾 Play: An intense Padel tournament where teams battled it out for the title.

🔥 Compete: High-energy matches that put teamwork and agility to the test.

🚀 Win: Celebrating the champions who mastered the court with the same precision they apply to the cloud.

🤝 The Networking Track Running in parallel, attendees connected off the court, diving into conversations about the latest in AI and cloud technology.

🧠 Connect: Deep dives into digital sovereignty and AI trends with Google Cloud experts.

💬 Share: Unfiltered exchanges of ideas and experiences between founders, developers, and industry leaders.

The day wrapped up with a relaxed networking session, sparking new partnerships over food and drinks. A huge thank you to all our players, attendees, and partners for making this event a smash hit!

Stay Connected: ► Subscribe to our channel for more event recaps and community highlights.

#GoogleCloud #Munich #Startups #Padel #Google",https://www.youtube.com/watch?v=xBh3aBdZfdI
ZR9OhAS88fw,"Founder's & Developer AI Day Berlin (Recap)","The Founder's Story",https://i.ytimg.com/vi/ZR9OhAS88fw/hqdefault.jpg,"We moved from AI theory to practical strategy! 🚀 This is the official recap of The Founder's Story: Founders \u0026 Developers AI Day, hosted at our Google Office in Berlin on October 16th.

We brought together Berlin's startup and developer community for a day of learning, building, and connecting, running two parallel tracks.

🧠 Founders \u0026 C-Level Track
For founders and leaders, the day was all about execution. Highlights included:

🛠️ Build: A hands-on workshop where attendees built their own no-code AI agent.

🧠 Learn: An \",https://www.youtube.com/watch?v=ZR9OhAS88fw
7t4PHZjmnAc,"The Founder's Story - People","The Founder's Story",https://i.ytimg.com/vi/7t4PHZjmnAc/hqdefault.jpg,"How do you hire and keep the right talent?  What is the most important pillar of company culture?  An how can you actually create a team spirit - what should you look out for in people?

Let the guests of The Founder's Story Switzerland from May 2022 give some insights, interviewed by Silvana Vidal:

Angela Matthes, Co-Founder \u0026 CEO of becurious.li
Simon Youssef, Co-Founder of neon
Bianca End, Head of Corporate Sales at Google Cloud",https://www.youtube.com/watch?v=7t4PHZjmnAc
XEJW-BHpNd4,"Startup Meetup @STATION F -  Gemini 2.0","The Founder's Story",https://i.ytimg.com/vi/XEJW-BHpNd4/hqdefault.jpg,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",https://www.youtube.com/watch?v=XEJW-BHpNd4
NBkgo4NyoTI,"The Founder's Story - Exits","The Founder's Story",https://i.ytimg.com/vi/NBkgo4NyoTI/hqdefault.jpg,"When should you start thinking about an exit path? And should you? In which situation should you not sell? And anyway, how to put together a team of people who can get you to this milestone in the first place? 

Hear our valued guests in our last episode of The Founder's Story Switzerland, interviewed by Hans Tran:

Nikos Kariotoglou, Co-Founder \u0026 CEO of Seervision
Hermann Arnold, Co-Founder \u0026 CEO of Umantis 
Ben Simon. Co-Founder \u0026 CEO of VAY
Maxim Salomon, Lead Technical Program Manager, Google",https://www.youtube.com/watch?v=NBkgo4NyoTI
00lKbjJTeAk,"The Founder's Story - Google Cloud Summit 2024","The Founder's Story",https://i.ytimg.com/vi/00lKbjJTeAk/hqdefault.jpg,"How does Google help the Swiss startup ecosystem? Watch a special episode of The Founder's Story Switzerland from our 2024 Google Cloud Summit. Our Hans Tran interviews three inspiring founders who all have one thing in common - they all used to work at Google before starting their own startups: 

Pascal Mathis, Co-founder of GetYourGuide
Yannic Kilcher, CTO at DeepJudge
Daniel Danciu, CTO at Cradle Bio",https://www.youtube.com/watch?v=00lKbjJTeAk
xVpwygw43BA,"The Founder's Story - Community Shapers","The Founder's Story",https://i.ytimg.com/vi/xVpwygw43BA/hqdefault.jpg,"What is so special about networking in Silicon Valley and can we aim to get the same benefits even here in Europe? When is the right time to start building a network and how can you combine the power of different networks to grow your startup? 

Watch our next The Founder's Story Switzerland episode moderated by Hans Tran, interviewing:

Isabelle Siegrist, Strategic Entrepreneurship Advisor at ETH AI Center
Thomas Dübendorfer, President and Founder, SICTIC
Merle Zur, Partnerships Lead, Impact Hub Zürich
Urs Hölzle, Google Fellow",https://www.youtube.com/watch?v=xVpwygw43BA
89UGOt0VS1A,"The Founder's Story - AI & ML","The Founder's Story",https://i.ytimg.com/vi/89UGOt0VS1A/hqdefault.jpg,"Is the AI hype actually just a hype? What impact will the AI boom have on our lives? 

Hear it from those in charge, interviewed by our own Hans Tran during this The Founder's Story Switzerland episode on 30 November 2023. We were honored to welcome precious guests:

Manuel Heuer, Chief Operating Officer at dacadoo
Sasha Schriber, Chairwoman and founder of NANOS
Philippe Sahli, Co-Founder \u0026 CEO at Yokoy
Patrick Schilling, AI Partnerships Lead at Google",https://www.youtube.com/watch?v=89UGOt0VS1A
LOtVNY7Dw4A,"The Founder's Story - Web3","The Founder's Story",https://i.ytimg.com/vi/LOtVNY7Dw4A/hqdefault.jpg,"How can users better engage with web3 ecosystem and what other use cases will web3 help us with in the future? And what if, once, we stop talking about web3 and just talk about the web?

Our The Founder's Story Switzerland episode from 28 September 2023 brought to you by Silvana Vidal gives you the answers. Watch the interview with our guests:

Tracy Trachsler, Managing Director at CV Labs
Lukas Schor, Co-Founder of Safe
Marc Hauser, Managing Partner at Tenity
Daniël Rood, Cloud AI Leader at Google",https://www.youtube.com/watch?v=LOtVNY7Dw4A
FvnqQevhDPQ,"The Founder's Story - Tech for Social Impact","The Founder's Story",https://i.ytimg.com/vi/FvnqQevhDPQ/hqdefault.jpg,"Have you thought about the potential of technology to help everyone on the planet? Who exactly can have impact and how? 

Watch the first episode of the second series of The Founder's Story Switzerland from 30 March 2023, moderated by Hans Tran interviewing:

Rhiana Spring, Founder and CEO of Spring ACT
Sandino Scheidegger, Founder of Social Income
Hilda Liswani, Founder \u0026 CEO of WeBloom
Evelyn Leu, Industry Manager and Lead in Education Projects at Google",https://www.youtube.com/watch?v=FvnqQevhDPQ
