youtubeId,title,channelName,thumbnailUrl,description,videoUrl
0kARDVL2nZg,"How To Get Your First Users","Y Combinator",https://i.ytimg.com/vi/0kARDVL2nZg/hqdefault.jpg,"When you're starting out, it isn’t enough to just build a minimum viable product. You also need a minimum evolvable product - one that can adapt to the needs of those critical early customers. 

In this episode of Main Function, YC General Partner Ankit Gupta offers an update to the classic MVP playbook. He’ll outline strategies for getting your first customers, the power of adaptability and how feedback from early users will ultimately shape the future of your product and your company.

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs

Chapters:
00:00 – The Minimum Evolvable Product Playbook
00:46 – Finding the First True Believers
01:29 – Counterintuitive Rules To Get Early Users
02:10 – Learn Fast And Don’t Fear Churn
02:52 – How Early Users Shape the Market You Enter
04:22 – Tesla Case Study
05:14 – Conclusion",https://www.youtube.com/watch?v=0kARDVL2nZg
2hgjgycOU_0,"Inside The Startup Building Reusable Rockets","Y Combinator",https://i.ytimg.com/vi/2hgjgycOU_0/hqdefault.jpg,"Stoke Space is racing to build the world's first fully reusable rockets that can launch, survive reentry, and fly again and again. In this episode of Hard Tech, YC’s Aaron Epstein sits down with Stoke Space co-founders Andy Lapsa and Tom Feldman to find out why they chose to take on one of the hardest problems in rocket science, how an obsession with efficiency gives them an edge, and what full reusability could unlock for the future of spaceflight.

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs

Chapters: 
00:00 — Intro
01:16 — Stoke Space’s mission: Rapid reusability
02:18 — Why Second Stage capsules fail reentry
03:34 — Stoke Space’s stage 2 solution
05:30 — Reusability-First Design Philosophy
07:25 — Early Engine Development \u0026 Test Strategy
10:48 — Vertical Integration \u0026 Manufacturing
11:21 — Iteration Speed as a Competitive Advantage
12:29 — Software as Core Infrastructure
14:00 — Path to Orbit \u0026 Launch Operations
15:04 — How This Could Change The World",https://www.youtube.com/watch?v=2hgjgycOU_0
cqrJzG03ENE,"The Truth About The AI Bubble","Y Combinator",https://i.ytimg.com/vi/cqrJzG03ENE/hqdefault.jpg,"2025 was the year AI stopped feeling chaotic and started feeling buildable. In this Lightcone episode, the YC partners break down the surprises of the year, from shifting model dominance to why the real opportunity is moving back to the application layer, and why the next wave of AI startups may be just getting started.

00:00 Intro
00:50 Anthropic models are most preferred in the latest YC batch
05:36 Why aren’t there more AI consumer apps? 
07:01 Swapping models in and out is becoming the norm
09:08 The big AI bubble question
14:37 Space as the solve for data centers and energy 
17:29 Interest in starting model companies
21:01 Vibe coding became a big category
22:23 AI economy has stabilized
23:38 The AI 2027 piece
25:49 Founders still need to hire teams
29:02 Outro 

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs",https://www.youtube.com/watch?v=cqrJzG03ENE
pBlIgs6w7Ss,"How Intelligent Is AI, Really?","Y Combinator",https://i.ytimg.com/vi/pBlIgs6w7Ss/hqdefault.jpg,"ARC-AGI is redefining how to measure progress on the path to AGI - focusing on reasoning, generalization, and adaptability instead of memorization or scale. During this month's NeurIPS 2025 conference, YC's Diana Hu sat down with ARC Prize Foundation President Greg Kamradt to find out why most AI benchmarks fail, how ARC-AGI reveals the limits of today’s models, and why measuring intelligence may be harder than building it.

Apply to Y Combinator: https://www.ycombinator.com/apply

Chapters: 
00:11 — What ARC Prize is and why it exists
00:38 — François Chollet’s definition of AGI
01:48 — What ARC-AGI Actually Tests
02:25 — When LLMs Failed the ARC Benchmark
02:44 — The Reasoning Breakthrough
03:38 — ARC-AGI Becomes the Standard
04:20 — Vanity Metrics
04:49 — False Positives in AI Progress
06:06 — The Evolution of ARC-AGI
07:05 — Inside ARC-AGI v3
08:55 — Measuring Intelligence beyond just accuracy
10:25 — What happens if a model solves ARC-AGI?",https://www.youtube.com/watch?v=pBlIgs6w7Ss
5WN8bfG06Hk,"From Pivot Hell To $1.4 Billion Unicorn","Y Combinator",https://i.ytimg.com/vi/5WN8bfG06Hk/hqdefault.jpg,"In just a few years, James Hawkins took PostHog from an idea hacked together right before YC's W20 deadline to a unicorn powering product analytics for thousands of teams.

In this episode of Founder Firesides, he sits down with YC's Brad Flora to talk about surviving six months of \",https://www.youtube.com/watch?v=5WN8bfG06Hk
t8co94HS6tY,"How Amplitude Went From Skeptics to “All In” on AI","Y Combinator",https://i.ytimg.com/vi/t8co94HS6tY/hqdefault.jpg,"Spenser Skates has spent more than a decade building Amplitude from a YC startup into a public company, and in that time, he's had to reinvent himself just as much as the product.

Joining the Lightcone pod, he talks through the shift from founder to large-company CEO, the skepticism his team initially had toward AI, and the moment they realized the next wave of analytics would require a full reset. He walks through the hard reorgs, the bottom-up experiments, and the mindset changes that let Amplitude move fast again—and shares what it really takes for a big company to adapt when the ground under the industry moves.

00:00 Intro
03:40 Embracing AI at Amplitude
11:00 Product roadmap, AI native priorities
15:32 Org changes \u0026 hierarchy
18:40 “AI killing SaaS”, changing the Amplitude roadmap
23:30 The “features, not companies” debate, advantages for incumbents
32:14 Finding good mentors, hyper focus
38:09 The difference between being a founder vs a big company executive
41:52 Outro

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs",https://www.youtube.com/watch?v=t8co94HS6tY
Z4L4ZqL1xqQ,"The Best Consumer Startup Ideas Were Impossible Until Now","Y Combinator",https://i.ytimg.com/vi/Z4L4ZqL1xqQ/hqdefault.jpg,"Every major shift in consumer tech has a moment when it suddenly becomes accessible to millions. Michael Mignano helped spark one of those moments with Anchor, making podcast creation something anyone could do with a tap. Now at Lightspeed, he sees AI bringing a similar leap to music, media, and everyday apps.

In this conversation, he and Garry trace the arc from the early days of social audio to today's consumer AI boom—and dig into what founders should focus on as the next generation of creative tools takes shape.

Chapters:
00:00 Intro
00:51 Michael’s founder experience
06:43 Consumer landscape and AI impact
08:26 What makes consumer different from other spaces
10:00 AI costs and distribution challenges
13:20 Listening to the users, growth rules 
16:40 Ecosystem integration, distribution
19:52 AI generated content \u0026 social media
30:00 Taste, craft, model energy
33:20 Data opportunities
36:40 Outro",https://www.youtube.com/watch?v=Z4L4ZqL1xqQ
RynySryqM_0,"Cursor Head of Design Roasts Startup Websites","Y Combinator",https://i.ytimg.com/vi/RynySryqM_0/hqdefault.jpg,"Cursor Head of Design Ryo Lu has spent his career at the intersection of design and engineering—from building fan sites as a kid to designing products at Stripe, Asana, and Notion. Now he's rethinking how software itself gets made.

On this episode of Design Review, Ryo joins YC's Aaron Epstein to break down how great product websites communicate what a company does. They walk through sites from early-stage startups, calling out the small choices in structure, clarity, and brand that help users understand a product instantly — and the ones that get in the way.

Chapters:
00:00 - Intro
01:00 - Crunched
05:30 - Velvet
09:00 - Klavis AI
14:30 - Code Crafters
20:40 - Slashy
22:50 - Freya
26:00 - Finta
30:30 - Vibeflow

Thank you to these companies for volunteering*:
Crunched (https://www.usecrunched.com/)
Velvet (https://velvet.video/)
Klavis AI (https://www.klavis.ai/)
Code Crafters (https://codecrafters.io/)
Slashy (https://www.slashy.com/)
Freya (https://freyavoice.ai/)
Finta (https://www.finta.com/)
Vibeflow (https://app.vibeflow.ai/)

*Some of the featured websites may be updated between the time we film and publish

Apply to Y Combinator: https://www.ycombinator.com/apply",https://www.youtube.com/watch?v=RynySryqM_0
KTmxaMdUbHA,"AI Is Eating Logistics","Y Combinator",https://i.ytimg.com/vi/KTmxaMdUbHA/hqdefault.jpg,"Logistics is a multi-trillion-dollar industry that quietly powers the entire global economy — and it's shockingly manual.

Ryan Petersen, founder \u0026 CEO of Flexport, joins the Lightcone to break down how AI is finally touching the physical world: making shipping cheaper, speeding up global trade, and automating work that used to live inside emails, spreadsheets, and phone calls.

Chapters:
00:00 Intro
00:51 What is Flexport and what are they doing with AI?
03:17 When did AI tools become serious at the company
06:27 The benefit of internal hackathons 
12:03 What internal AI projects have been most impactful at Flexport
14:40 What software can do better and faster in logistics
19:08 Do goods get cheaper if more logistics get automated? 
21:18 The spiritual/philosophical implications of AI in society
23:51 How does AI change the model structure for companies? 
26:38 Would Ryan have built Flexport differently today?
30:22 Outro

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs",https://www.youtube.com/watch?v=KTmxaMdUbHA
hKw6cRKcqzY,"Inside The Startup Launching AI Data Centers Into Space","Y Combinator",https://i.ytimg.com/vi/hKw6cRKcqzY/hqdefault.jpg,"Starcloud recently made history by launching a satellite with an NVIDIA H100 into orbit — the first time a GPU that powerful has ever operated in space. It's the first step toward building AI data centers in orbit, powered by continuous sunlight and cooled by radiating heat into deep space. Their approach could one day rival the world's biggest data centers while using less energy, zero fresh water, and far lower emissions. In this episode of Hard Tech, YC's Aaron Epstein visits Starcloud's HQ, where co-founders Philip Johnston, Ezra Feilden, and Adi Oltean explain how they built a working prototype in just 15 months — and why big tech is racing to space for AI compute.

Learn more about Starcloud: https://www.starcloud.com
Read their white paper: https://starcloudinc.github.io/wp.pdf

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs

Chapters:
00:00 – A New Industry: Data Centers In Space
00:52 – Making History
01:29 – Their Mission
02:16 – Building A Demo Satellite
02:50 – Why Compute Belongs in Space
03:51 – Energy Demands On Earth
04:31 – Responding to Skeptics
06:03 – Founder Origin Story
06:43 – Pivot From Space Based Solar To Orbital Data Centers
07:22 – YC And The Power Of Taking Risks
07:22 – Tour Of StarCloud HQ
10:39 – The StarCloud-1 Launch
11:40 – Next Launch in 2026",https://www.youtube.com/watch?v=hKw6cRKcqzY
i_PjjXKNpA4,"The Startup Playbook for Hiring Your First Engineers and AEs","Y Combinator",https://i.ytimg.com/vi/i_PjjXKNpA4/hqdefault.jpg,"Most founders think hiring is about interviewing. But it's actually about selling.

For Startup School, Juicebox co-founder \u0026 CEO David Paffenholz joins YC's Harj Taggar to share how early-stage founders can find, pitch, and close top engineering and sales talent— from crafting better outreach to winning great hires from Big Tech— even when you're an unknown startup.

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs

Chapters:
0:00 – Why your first hires matter
1:17 – What great candidates actually want
4:38 – How to sell your startup to top talent
7:49 – Finding and sourcing great engineers
13:17 – Writing outreach that gets replies
20:58 – Interviewing: sell first, assess second
25:59 – Closing fast and competing with Big Tech
31:06 – Common mistakes founders make
38:52 – When (and how) to hire a recruiter
43:11 – Final thoughts",https://www.youtube.com/watch?v=i_PjjXKNpA4
DULfEcPR0Gc,"Good News For Startups: Enterprise Is Bad At AI","Y Combinator",https://i.ytimg.com/vi/DULfEcPR0Gc/hqdefault.jpg,"MIT's new State of AI in Business report went viral for claiming that 95% of enterprise AI projects fail. But the real story isn't that AI doesn't work — it's just big companies can't build it.

In this episode of the Lightcone, Garry, Harj, Diana, and Jared break down what the study really says, why in-house enterprise AI efforts keep stalling, and how startups are filling the gap with products that learn, integrate, and actually deliver value.

Chapters:
0:00 Intro
2:08 The enterprise AI adoption gap and why the failure rate is high
3:32 Even Apple can be bad at software
4:30 Why getting enterprise software to actually work is so hard
11:08 The Reducto case study
13:39 The type of enterprise employee you should find as a founder
14:39 Meet founders who’ve been acquired by enterprises
15:25 Enterprise/startup tension and symbiosis
19:40 Outro

Apply to Y Combinator: https://www.ycombinator.com/apply
Work at a startup: https://www.ycombinator.com/jobs",https://www.youtube.com/watch?v=DULfEcPR0Gc
l0h3nAW13ao,"From Idea to $650M Exit: Lessons in Building AI Startups","Y Combinator",https://i.ytimg.com/vi/l0h3nAW13ao/hqdefault.jpg,"Jake Heller is the co-founder \u0026 CEO of Casetext, the AI legal startup behind CoCounsel, which was acquired by Thomson Reuters for $650 million.

In his talk at AI Startup School on June 17th, 2025, he shared how his team did it—from picking the right idea to building AI products that actually work—and how founders can turn a cool demo into a reliable tool used by real customers.

Chapters:
00:00 — How We Built a $650M AI Company
01:00 — Picking the Right Idea in the AI Era
04:45 — Three Types of AI Startups: Assist, Replace, or Do the Unthinkable
09:25 — How to Build Reliable AI Products (Not Just Demos)
16:30 — The Importance of Evals and Testing
24:20 — Why Product Quality Beats Marketing and Hype
26:00 — How to Price and Sell AI Products
27:45 — Building Trust with Customers
29:30 — Product Isn’t Just Pixels, It’s Everything Around It
33:00 — What Founders Should Really Focus On
36:00 — Q\u0026A: Picking Markets, Focus, and Defensibility",https://www.youtube.com/watch?v=l0h3nAW13ao
